"No.","Time","Source","Destination","Protocol","Length","Info"
"3842","36.112355","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3843","36.112355","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3844","36.113156","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3845","36.113156","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3846","36.114240","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3847","36.114310","192.168.1.104","212.156.184.18","UDP","78","58960  >  443 Len=36"
"3848","36.114803","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3849","36.116147","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3850","36.117434","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3851","36.117434","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3852","36.117434","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3853","36.117434","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3854","36.117518","192.168.1.104","212.156.184.18","UDP","79","58960  >  443 Len=37"
"3855","36.119334","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3856","36.119334","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3857","36.119334","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3858","36.119407","192.168.1.104","212.156.184.18","UDP","79","58960  >  443 Len=37"
"3859","36.120301","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3860","36.120301","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3861","36.121000","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3862","36.121690","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"3863","36.121857","192.168.1.104","212.156.184.18","UDP","79","58960  >  443 Len=37"
